NODE_NAME            ASN        POD_NAME                                               
seed-k3s-worker2     AS4        as4brd-ix4-1.4.0.4-88c85f99f-bw8rl                     
seed-k3s-worker2     AS5        as5brd-ix5-1.5.0.5-7c9ccc6bf7-95v9x                    
seed-k3s-worker2     AS6        as6brd-ix6-1.6.0.6-cbf56f59-ldjc7                      
seed-k3s-worker2     AS7        as7brd-ix7-1.7.0.7-cfb6d8db5-4946s                     
seed-k3s-worker2     AS8        as8brd-ix8-1.8.0.8-54dcb65979-xcqpz                    
seed-k3s-worker2     AS9        as9brd-ix9-1.9.0.9-8679c4666f-v8nxb                    
seed-k3s-worker2     AS10       as10brd-ix10-1.10.0.10-58f5885499-4c4jd                
seed-k3s-worker2     AS12       as12brd-ix12-1.12.0.12-976f67c9-6rnzq                  
seed-k3s-worker2     AS13       as13brd-ix13-1.13.0.13-5c966cc547-zz2xf                
seed-k3s-worker2     AS14       as14brd-ix14-1.14.0.14-67d7886bb7-4xw8x                
seed-k3s-worker2     AS16       as16brd-ix16-1.16.0.16-7cd89bc9bc-cmdq5                
seed-k3s-worker2     AS17       as17brd-ix17-1.17.0.17-fb9bcc875-nppsz                 
seed-k3s-worker2     AS18       as18brd-ix18-1.18.0.18-578cbc5f5f-bcgsg                
seed-k3s-worker2     AS19       as19brd-ix19-1.19.0.19-6995bd8f9-99qsm                 
seed-k3s-worker2     AS20       as20brd-ix20-1.20.0.20-74d6555c87-qwxp5                
seed-k3s-worker2     AS21       as21brd-ix21-1.21.0.21-7cf88847f-7hmq4                 
seed-k3s-worker2     AS23       as23brd-ix23-1.23.0.23-7d7cb796d7-z8lxw                
seed-k3s-worker2     AS25       as25brd-ix25-1.25.0.25-b845b9667-wdlt9                 
seed-k3s-worker2     AS28       as28brd-ix28-1.28.0.28-5dcbb6955-w5m44                 
seed-k3s-worker2     AS30       as30brd-ix30-1.30.0.30-6979854ccf-d5nzs                
seed-k3s-worker2     AS32       as32brd-ix32-1.32.0.32-cf67c89f-vpxwz                  
seed-k3s-worker2     AS34       as34brd-ix34-1.34.0.34-64cc5857b7-p4mwn                
seed-k3s-worker2     AS36       as36brd-ix36-1.36.0.36-5b7d977f8c-bp94h                
seed-k3s-worker2     AS38       as38brd-ix38-1.38.0.38-6675785879-k5v8b                
seed-k3s-worker2     AS40       as40brd-ix40-1.40.0.40-864d9f66d7-d4dtc                
seed-k3s-worker2     AS42       as42brd-ix42-1.42.0.42-5cc7bb9ddc-dxqg8                
seed-k3s-worker2     AS44       as44brd-ix44-1.44.0.44-bccbcf575-7qms5                 
seed-k3s-worker2     AS50       as50brd-ix50-1.50.0.50-cbffb9d7f-f996m                 
seed-k3s-worker2     AS52       as52brd-ix52-1.52.0.52-68d887d979-p4rkp                
seed-k3s-worker2     AS58       as58brd-ix58-1.58.0.58-85b7d6bf6c-lhmf8                
seed-k3s-worker2     AS61       as61brd-ix61-1.61.0.61-75c44fbcbc-rstth                
